 Blood Bank Name, State, District, Address,Pincode, Mobile, Email, Website, Category, Blood Component Available, Latitude, Longitude
G.B. Pant Hospital Blood bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
",744104,9434266561,bbgbpant@gmail.com,,Government,YES,11.675442,92.747338
I.N.H.S. Dhanvantri,Andaman And Nicobar Islands,SOUTH ANDAMAN,"Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.",744103,8001452200,,,Government,NO,11.649693,92.717418
Pillar Health Centre Blood Bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,"Lamba Line
P.B. 526
P.O. Junglighat
Opposite Airport",744104,9474247585,pillarbloodbank2016@gmail.com,,Charity,NO,11.653229,92.730714
"Indian Red Cross Society Blood Bank, District Branch",Andhra Pradesh,ANANTAPUR,"Near JNTU Engeneering College, Sarada Nagar, Ananthapur.",515002,9441192365,NA,,Charity,YES,14.654936,77.609915
Government General Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,"Government General Hospital, Ananthapur",515001,9866695858,bloodbankgghatp@gmail.com,,Government,YES,14.671459,77.596684
Indian Red Cross Society,Andhra Pradesh,ANANTAPUR,"Blood Bank Medical Officer,Blood Bank, Indian Red Cross Society, Anantpur",515001,Dist.Secretary 9866023293,ircsbloodbank.anantapur@gmail.com,,Charity,YES,14.681888,77.600591
Rural Development Trust Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,"Kadiri Road, Bathalapalli, Ananthapur",515661,9493268861,NA,,Charity,YES,14.652907,77.618826
South Central Railway Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,"S.C. Railway Hospital, Guntakal, Ananthapuramu",515801,9701374501,NA,,Government,NO,15.172889,77.366103
Indian Red Cross Society Blood Bank,Andhra Pradesh,ANANTAPUR,"Government General Hospital Blood Bank, Hindupur, Ananthapur
",515201,NA,ircshup@gmail.com,,Charity,NO,13.832533,77.492214
Indian Red Cross Society Blood bank RCH -II KADIRI,Andhra Pradesh,ANANTAPUR,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur
",515591,9989738689,kadiriircs@gmail.com,,Government,NO,14.113089,78.157366
S.S.S.I.H.M.S. Blood Bank,Andhra Pradesh,ANANTAPUR,"Prasanthigram, Puttaparthy, Ananthapuramu",515134,9490360321,saikiran_ptp@yahoo.co.in,,Government,,14.151889,77.77685
District Head Quarters Hospital Blood Bank. ,Andhra Pradesh,CHITTOOR,"Head Quarters  Hospital Compound, Chittoor",517001,9849229482,bloodbankctr1@gmail.com,,Government,YES,13.217176,79.100329
Indian Red Cross Society,Andhra Pradesh,CHITTOOR,"The Secretary, Indian Red Cross Society, D:No:20-119, PH Road, Redcross Building, Chittoor 517 001, Andhra Pradesh Dr.M.V.Narayana Reddy (MO), Ph:08572 220287",517001,,indian red cross society indian red corss society ,,Charity,YES,13.217176,79.100329
M/s IRCS Blood Bank.,Andhra Pradesh,CHITTOOR,"D.No. 20 - 119, Prakasam High Road, Chittor",517001,9849229482,ircschittoor@gmail.com,,Charity,NO,13.21698,79.100764
M/s PESIMSR Blood Bank.,Andhra Pradesh,CHITTOOR,"PES Institute of medical sciences premises, Kuppam
",517425,9391833741,pathpesimsr@gmail.com,,Private,YES,12.791223,78.363897
Blood Bank AH Madanapalli,Andhra Pradesh,CHITTOOR," The Blood Bank Medical Officer, Area Hospital, Patel Road, Madanapalli 517 325, Chittoor Dist. , Andhra pradesh Dr.Laxmiprasadreddy9(M.O)",517325, ,  ircsbbmpl2009@gmail.com,,Charity,YES,13.217176,79.100329
"Indian Red Cross Society, Madanapalli RCH 2",Andhra Pradesh,CHITTOOR,"Area Hospital, Patel Road, Madanapalli.
",517325,9440580272, ircsbbmpl2009@gmail.com,,Government,NO,13.556927,78.50085
"Aswini Hospital Blood Bank, TTD",Andhra Pradesh,CHITTOOR,"Tirumala Tirupati Devastanam (TTD), Tirumala, Chittoor ",517507,9490651605,suresh.bandapalli@gmail.com,,Charity,,13.677292,79.3487
SVRRGGH - Model Blood Bank,Andhra Pradesh,CHITTOOR,"S.V.R.R. Government General Hospital, Tirupati
",517502,NA,modelbloodbanktpt2010@gmail.com,,Government,YES,13.644382,79.407003
Sri Venkateswara Institute of Medical sciences Blood Bank,Andhra Pradesh,CHITTOOR,"Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus, Tirupati",517507,,svimshosp ,,Charity,,13.637934,79.403917
Govt Maternity Hospital Blood Bank,Andhra Pradesh,CHITTOOR,"Ruia Hospital Road, Tirupati",517507,9949190197,supdtgmhtirupati@yahoo.com,,Government,NO,13.639418,79.409372
 TTD Central Hospital Blood Bank,Andhra Pradesh,CHITTOOR,"Tirumala Tirupati Devastanam (TTD), Kapil Teertham Road, Tirupati
",517501,9849099750,ttdcentralhospital@gmail.com,,Charity,NO,13.642148,79.421067
S.V.S. Charitable Trust Blood Bank and Transfusion Centre,Andhra Pradesh,CHITTOOR,"10-13-514, 1st Floor, Reddy & Reddy Colony, Tirupathi",517501,9246999571,svsctbloodbank@gmail.com,,Charity,YES,0,0
Government Hospital,Andhra Pradesh,EAST GODAVARI,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Amalapuram",533201,9989106236,bloodbankahamp@gmail.com,,Government,NO,16.587432,82.008431
"M/S. Kims & Research Foundation, Hospital Blood Bank",Andhra Pradesh,EAST GODAVARI,"Kims & Research Foundation, Hospital Blood Bank, Sy.No:813 & 817, Kamanagaruvu, Near Red Bridge, Amalapuram.",533201,9949993495,Principal07kims@yahoo.co.in,,Charity,YES,16.592169,82.024025
M/s. A.P.V.V.P Area Hospital Blood Bank  ,Andhra Pradesh,EAST GODAVARI,"Ground Floor Area Hospital, Amalapuram",533201,"09505152234, 09491219991",NA,,Government,NO,16.575367,81.998101
"M/s. Government General Hospital, Blood Bank.",Andhra Pradesh,EAST GODAVARI,"Government General Premises, Ground Floor, Kakinada",533001,9390207027,bloodbankgghkkd@gmail.com,,Charity,YES,16.955537,82.22748
M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,EAST GODAVARI,"D.No: 8-14-39, Ground & 1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada",533004,9848071868,nraopydah@yahoo.co.in,http://www.Indianredcross-eg.org,Charity,YES,16.989065,82.247465
M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),Andhra Pradesh,EAST GODAVARI,"Second Floor, D.No:15-8-3, Brahmarishi Road, Satya Prasanna Nagar, Kakinada
",533001,9494673434,NA,,Charity,NO,0,0
District Headquarters Hospital,Andhra Pradesh,EAST GODAVARI,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry",533101,9849520969,govtbloodbank.rjy@gmail.com,,,,17.019708,81.791631
M/s. G. S. L. Medical College General Hospital Blood Bank,Andhra Pradesh,EAST GODAVARI,"No-16, Lakshmi Puram, Rajanagaram, Rajahmundry.",533296,,,,Private,YES,0,0
"M/s. Swatantra Hospital,  Blood Bank",Andhra Pradesh,EAST GODAVARI,"D.No: 46-13-31,1st Floor, Gowthami Scan Centre Private Limited, Near Gandhi Park,  Danaviepeta, Rajahmundry.",533103,NA,NA,,Private,NO,0,0
M/S. Dhanwantari Voluntary Blood Bank.,Andhra Pradesh,EAST GODAVARI,"D.No:46-21-1,2nd Floor, Danavaiepeta, Rajahmundry",533103,9885186533,dvbbrjy@gmail.com,, Diploma In medical Virology,Charity,15.03.2017,17.00787,81.785213
M/s. Government Area General Hospital Blood Bank.,Andhra Pradesh,EAST GODAVARI,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni
",533401,"09849030908, 09505615556",tunibloodbank@yahoo.com,,Government,NO,17.354937,82.541241
M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness),Andhra Pradesh,EAST GODAVARI,"D.No: 3-5-9, Opposite to Raithu Bazar, Lalam Satyanarayana Hospital Street, Tuni
",533401,"09347911130, 09948456739",NA,,Charity,NO,0,0
Government General Hospital Blood Bank,Andhra Pradesh,GUNTUR,"Opposite to Railway Station, 1st Floor, C/o Government General Hospital, Guntur.
",522001,9966641474,bloodbank.ggh.gnt@gmail.com,,Government,YES,16.299747,80.443689
Indian Red Cross Society,Andhra Pradesh,GUNTUR,"Blood Bank Medical Officer, Blood Bank, Indian Red Cross Society, Guntur, District Guntur",522004,9985322589,redcrossbloodbankguntur@yahoo.co.in,,Charity,YES,16.306653,80.43654
Indian Red Cross Society Blood Bank ,Andhra Pradesh,GUNTUR,"Zilla Parishad Compound, Nagarampalem, GUNTUR
",522004,"09848181601, 08121751295	",NA,,Charity,NO,16.306653,80.43654
Lions Club of Guntur Vision Blood Bank,Andhra Pradesh,GUNTUR,"1st Floor, Somuvari Street, Kothapeta, Guntur",522001,9246600777,,,Charity,YES,0,0
