name,latitude,longitude,country,state
Delhi,28.61,77.23,India,Delhi
Mumbai,19.0761,72.8775,India,Mahārāshtra
Kolkāta,22.5675,88.37,India,West Bengal
Bangalore,12.9789,77.5917,India,Karnātaka
Chennai,13.0825,80.275,India,Tamil Nādu
Hyderābād,17.3617,78.4747,India,Telangāna
Pune,18.5203,73.8567,India,Mahārāshtra
Ahmedabad,23.0225,72.5714,India,Gujarāt
Sūrat,21.1702,72.8311,India,Gujarāt
Lucknow,26.85,80.95,India,Uttar Pradesh
Jaipur,26.9,75.8,India,Rājasthān
Kanpur,26.4499,80.3319,India,Uttar Pradesh
Mirzāpur,25.146,82.569,India,Uttar Pradesh
Nāgpur,21.1497,79.0806,India,Mahārāshtra
Ghāziābād,28.67,77.42,India,Uttar Pradesh
Supaul,26.126,86.605,India,Bihār
Vadodara,22.3,73.2,India,Gujarāt
Rājkot,22.3,70.7833,India,Gujarāt
Vishākhapatnam,17.7042,83.2978,India,Andhra Pradesh
Indore,22.7167,75.8472,India,Madhya Pradesh
Thāne,19.1972,72.9722,India,Mahārāshtra
Bhopāl,23.2599,77.4126,India,Madhya Pradesh
Pimpri-Chinchwad,18.6186,73.8037,India,Mahārāshtra
Patna,25.594,85.1376,India,Bihār
Bilāspur,22.09,82.15,India,Chhattīsgarh
Ludhiāna,30.91,75.85,India,Punjab
Āgra,27.18,78.02,India,Uttar Pradesh
Madurai,9.9252,78.1198,India,Tamil Nādu
Jamshedpur,22.7925,86.1842,India,Jhārkhand
Prayagraj,25.4358,81.8464,India,Uttar Pradesh
Nāsik,19.9975,73.7898,India,Mahārāshtra
Farīdābād,28.4211,77.3078,India,Haryāna
Meerut,28.98,77.71,India,Uttar Pradesh
Jabalpur,23.1667,79.9333,India,Madhya Pradesh
Kalyān,19.2502,73.1602,India,Mahārāshtra
Vasai-Virar,19.3607,72.7956,India,Mahārāshtra
Najafgarh,28.6092,76.9798,India,Delhi
Vārānasi,25.3189,83.0128,India,Uttar Pradesh
Srīnagar,34.09,74.79,India,Jammu and Kashmīr
Aurangābād,19.88,75.32,India,Mahārāshtra
Dhanbād,23.7998,86.4305,India,Jhārkhand
Amritsar,31.64,74.86,India,Punjab
Alīgarh,27.88,78.08,India,Uttar Pradesh
Guwāhāti,26.1722,91.7458,India,Assam
Hāora,22.58,88.3294,India,West Bengal
Rānchi,23.36,85.33,India,Jhārkhand
Gwalior,26.2124,78.1772,India,Madhya Pradesh
Chandīgarh,30.75,76.78,India,Chandīgarh
Haldwāni,29.22,79.52,India,Uttarākhand
Vijayavāda,16.5193,80.6305,India,Andhra Pradesh
Jodhpur,26.28,73.02,India,Rājasthān
Raipur,21.2444,81.6306,India,Chhattīsgarh
Kota,25.18,75.83,India,Rājasthān
Bhayandar,19.29,72.85,India,Mahārāshtra
Loni,28.75,77.28,India,Uttar Pradesh
Ambattūr,13.1143,80.1548,India,Tamil Nādu
Salt Lake City,22.61,88.4,India,West Bengal
Bhātpāra,22.87,88.41,India,West Bengal
Kūkatpalli,17.4849,78.4138,India,Telangāna
Dāsarhalli,13.0465,77.513,India,Karnātaka
Muzaffarpur,26.1225,85.3906,India,Bihār
Oulgaret,11.957,79.7737,India,Tamil Nādu
New Delhi,28.6139,77.2089,India,Delhi
Tiruvottiyūr,13.16,80.3,India,Tamil Nādu
Puducherry,11.9167,79.8167,India,Puducherry
Byatarayanpur,13.0659,77.5922,India,Karnātaka
Pallāvaram,12.9675,80.1491,India,Tamil Nādu
Secunderābād,17.4399,78.4983,India,Telangāna
Shimla,31.1033,77.1722,India,Himāchal Pradesh
