Osm id,Name,Hospital Type,Address,state,district,pincode,telephone,Email,website,latitude,Longitude
1,"G B Pant Hospital, Port Blair",Public,"GB Pant Road,City Centre, Port Blair",Andaman and Nicobar Islands,South Andaman,744103,"03192 233665, 03192 246058, 03192 233455,03192 230858",NA,http://www.and.nic.in/C_charter/health/dhs/index.html#gph,11.675634,92.747372
2,"Care Hospital, Banjara",Private,"Road No.1, Banjara Hills",Andhra Pradesh,Hyderabad,500034,"040 30418888, 040 66668888, 040 23234444",info@carehospitals.com,www.carehospitals.com,17.415966,78.450437
3,L V Prasad Eye Institute,Private,"Kallam Anji Reddy Campus, L V Prasad Marg, Banjara Hills",Andhra Pradesh,Hyderabad,500034,"040 30612345, 040 39892020",appointment@lvpei.org,www.lvpei.org,17.442885,78.395294
4,Apollo Hospitals,Private,Jubilee Hills,Andhra Pradesh,Hyderabad,500033,040 23607777,apollohealthcity@apollohospitals.com,www.apollohospitals.com,17.414791,78.41681
5,Mediciti Hospital,Private,"5 - 9 - 22, Secretariat Road",Andhra Pradesh,Hyderabad,500063,040 23231111,info@medicitihospitals.com,www.medicitihospitals.com,17.406733,78.471583
6,"KIMS Hospital, Secunderabad",Private,"Secunderabad, 1 - 8 - 31/1, Minister Road, Secunderabad",Andhra Pradesh,Hyderabad,500003,"040 44885000, 040 44885184",info@kims.co.in,www.kimshospitals.com,17.437391,78.48241
7,Kamineni Hospital,Private,L.B Nagar,Andhra Pradesh,Hyderabad,500074,040 39879999,info@kaminenihospitals.com,www.kaminenihospitals.com,17.351672,78.556466
8,Yashoda Hospital,Private,"Somajiguda, Rajbhavan Road",Andhra Pradesh,Hyderabad,500082,040 23319999,somajiguda@yashodahospitals.com,www.yashodahospitals.com,17.424527,78.457208
9,Fernandez Hospital,Private,"Plot No. 769, Road No.44, Jubilee Hills",Andhra Pradesh,Hyderabad,500033,"040 40632600, 040 40632600",info@fernandezhospital.com,www.fernandezhospital.com,17.434742,78.398639
10,Global Hospital,Private,6 - 1 - 1040/1 to 4 Lakdikapul,Andhra Pradesh,Hyderabad,500004,040 23244444,info@globalhospitals.com,www.globalhospitalsindia.com,17.406331,78.463205
11,Asian Institute of Gastroenterology,Private,"6 - 3 - 661, Somajiguda",Andhra Pradesh,Hyderabad,500082,040 23378888,aigindiainfo@yahoo.co.in,www.aigindia.net,17.421037,78.456651
12,Udai Clinic Orthopedic Centre,Private,"5 - 9 - 94, Chapel Road",Andhra Pradesh,Hyderabad,500001,"040 23232226,040 23233195",info@udaiclinic.com,www.udaiclinic.com,17.396344,78.472023
13,Homeocare International,Private,"63,S.P. Road,Near Ashoka bhupal chambers, BegumpetSindhi Colony, Begumpet",Andhra Pradesh,Hyderabad,500003,NA,cyberclinic@homeocares.com,www.homeocares.com,17.443364,78.480716
14,Narayana Hrudayalaya Malla Reddy Hospital,Private,"D No 1 - 1 - 216, Survey No 114 and 115, Suraram X Roads, Jeedimetla",Andhra Pradesh,Hyderabad,500055,"040 23783000, 040 65262016",nh.hyd@hrudayalay.com,www.narayanahospitals.com,17.544186,78.433539
15,Nizams Institute of Medical Sciences (NIMS),Public,Panjagutta,Andhra Pradesh,Hyderabad,500082,"040 23390933,040 23399690, 040 23489244",nims@ap.nic.in weblink not working,http://nims.ap.nic.in/,17.421656,78.45194
16,Sathya Kidney Centre and Super Speciality Hospital,Private,"3-6-426, Beside Ashish Residency, Tank BundStreet Number 4, Devi Laxmi Bagh, Domalguda, Himayath Nagar",Andhra Pradesh,Hyderabad,500029,040 27636444,NA,www.sathyakidney.in,17.404753,78.4826
17,Sunshine Hospital,Private,"Penderghast Road, Opposite Parsi Dharamsala, Behind Paradise HotelSappu Bagh Apaprtment, Jogani, Ramgopalpet",Andhra Pradesh,Hyderabad,500003,040 44550000,info@sunshinehospitals.com,www.sunshinehospitals.com,17.441015,78.48694
